County,Municipality,Precinct,USC,STS,STH,School District,Total_Voters,Dem_Voters,Rep_Voters,Other_Voters,Male_Voters,Female_Voters,Unknown_Gender,Avg_Age,New_Registrations,Mail_Applications,Mail_Applications_Total,Mail_Applications_Approved,Mail_Applications_Declined,Mail_Ballots_Sent,Mail_Ballots_Returned,Mail_Ballots_Outstanding,Mail_Voters,Geo_Issue_Rows
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 01,12,45,38,BALDWIN-WHITEHALL,616,339,197,80,267,266,83,50.7,4,92,95,92,3,90,53,39,53,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 02,12,45,38,BALDWIN-WHITEHALL,1023,573,297,153,434,468,121,50.7,3,158,167,158,9,158,89,69,89,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 03,12,45,38,BALDWIN-WHITEHALL,836,457,246,133,333,405,98,50.0,1,82,91,82,9,82,47,35,47,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 04,,,,,2,1,0,1,0,0,2,23.5,0,1,2,1,1,1,0,1,0,2
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 04,12,45,38,BALDWIN-WHITEHALL,753,379,274,100,300,360,93,52.7,0,96,103,96,7,96,48,48,48,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 05,12,45,38,BALDWIN-WHITEHALL,809,427,264,118,340,365,104,51.0,3,100,114,100,14,100,55,45,55,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 06,,,,,3,3,0,0,0,0,3,31.0,0,3,3,3,0,3,0,3,0,3
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 06,12,45,38,BALDWIN-WHITEHALL,735,342,275,118,297,350,88,52.0,1,97,102,97,5,96,60,37,60,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 07,12,45,38,BALDWIN-WHITEHALL,821,417,296,108,342,370,109,52.6,4,115,125,115,10,115,66,49,66,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 08,12,45,38,BALDWIN-WHITEHALL,718,342,246,130,285,350,83,53.0,3,101,111,101,10,101,63,38,63,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 09,,,,,12,11,1,0,0,0,12,73.6,0,12,12,12,0,8,0,12,0,12
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 09,12,45,38,BALDWIN-WHITEHALL,746,421,226,99,298,343,105,52.7,2,112,116,112,4,110,57,55,57,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 10,12,45,38,BALDWIN-WHITEHALL,949,495,244,210,369,401,179,47.5,11,81,90,81,9,80,40,41,40,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 11,,,,,1,1,0,0,0,0,1,24.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 11,12,45,38,BALDWIN-WHITEHALL,1251,711,281,259,467,568,216,47.7,7,119,127,119,8,117,75,44,75,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 12,12,45,38,BALDWIN-WHITEHALL,654,369,206,79,267,326,61,51.6,2,75,83,75,8,75,44,31,44,0
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 13,,,,,2,1,0,1,0,0,2,35.0,0,0,2,0,2,0,0,0,0,2
ALLEGHENY,BALDWIN BORO,BALDWIN BR 00 13,12,45,38,BALDWIN-WHITEHALL,660,352,231,77,271,321,68,55.9,0,89,94,89,5,89,55,34,55,0
